library,function,line,file
wandblog.log,log,44,C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\LucasLvbj\ML-Training-Keras\scikit\cross-validation-lemma-tokenizer.py
wandb.init,wandb.init,8,C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\LucasLvbj\ML-Training-Keras\scikit\cross-validation-log.py
wandblog.log,log,38,C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\LucasLvbj\ML-Training-Keras\scikit\cross-validation-log.py
wandb.init,wandb.init,9,C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\LucasLvbj\ML-Training-Keras\scikit\cross-validation-nltk-tokenizer.py
wandblog.log,log,38,C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\LucasLvbj\ML-Training-Keras\scikit\cross-validation-nltk-tokenizer.py
wandb.init,wandb.init,7,C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\LucasLvbj\ML-Training-Keras\scikit\cross-validation-stemmer.py
wandblog.log,log,41,C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\LucasLvbj\ML-Training-Keras\scikit\cross-validation-stemmer.py
wandb.init,wandb.init,8,C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\LucasLvbj\ML-Training-Keras\scikit\cross-validation-synsets.py
wandblog.log,log,44,C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\LucasLvbj\ML-Training-Keras\scikit\cross-validation-synsets.py
wandb.init,wandb.init,10,C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\LucasLvbj\ML-Training-Keras\scikit\cross-validation-tfidf.py
wandblog.log,log,38,C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\LucasLvbj\ML-Training-Keras\scikit\cross-validation-tfidf.py
wandb.init,wandb.init,6,C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\LucasLvbj\ML-Training-Keras\scikit\cross-validation-wandb.py
wandblog.log,log,35,C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\LucasLvbj\ML-Training-Keras\scikit\cross-validation-wandb.py
wandb.init,wandb.init,5,C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\LucasLvbj\ML-Training-Keras\scikit\grid-search-svm.py
wandb.init,wandb.init,5,C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\LucasLvbj\ML-Training-Keras\scikit\grid-search-wandb.py
wandblog.log,log,28,C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\LucasLvbj\ML-Training-Keras\scikit\test-algorithm-wandb.py
logging.getLogger,logging.getLogger,93,C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\ludwig-ai\ludwig\ludwig\api.py
logging.getLogger,logging.getLogger,1733,C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\ludwig-ai\ludwig\ludwig\api.py
logging.getLogger,logging.getLogger,73,C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\ludwig-ai\ludwig\ludwig\automl\automl.py
logging.getLogger,logging.getLogger,36,C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\ludwig-ai\ludwig\ludwig\automl\auto_tune_config.py
logging.getLogger,logging.getLogger,50,C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\ludwig-ai\ludwig\ludwig\automl\base_config.py
mlflow.exceptions.MlflowException,MlflowException,99,C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\ludwig-ai\ludwig\ludwig\contribs\mlflow\model.py
mlflow.models.Model,Model,104,C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\ludwig-ai\ludwig\ludwig\contribs\mlflow\model.py
mlflow.models.utils._save_example,_save_example,108,C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\ludwig-ai\ludwig\ludwig\contribs\mlflow\model.py
mlflow.pyfunc.add_to_model,pyfunc.add_to_model,122,C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\ludwig-ai\ludwig\ludwig\contribs\mlflow\model.py
mlflow.models.Model.log,Model.log,208,C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\ludwig-ai\ludwig\ludwig\contribs\mlflow\model.py
mlflow.tracking.artifact_utils._download_artifact_from_uri,_download_artifact_from_uri,250,C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\ludwig-ai\ludwig\ludwig\contribs\mlflow\model.py
mlflow.utils.model_utils._get_flavor_configuration,_get_flavor_configuration,251,C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\ludwig-ai\ludwig\ludwig\contribs\mlflow\model.py
mlflow.register_model,mlflow.register_model,278,C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\ludwig-ai\ludwig\ludwig\contribs\mlflow\model.py
logging.getLogger,logging.getLogger,16,C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\ludwig-ai\ludwig\ludwig\contribs\mlflow\__init__.py
ray.tune.integration.mlflow.mlflow_mixin,mlflow_mixin,172,C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\ludwig-ai\ludwig\ludwig\contribs\mlflow\__init__.py
ludwig.contribs.mlflow.model.log_saved_model,log_saved_model,232,C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\ludwig-ai\ludwig\ludwig\contribs\mlflow\__init__.py
logging.getLogger,logging.getLogger,10,C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\ludwig-ai\ludwig\ludwig\contribs\wandb.py
ludwig.contribs.wandb.WandbCallback,WandbCallback,54,C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\ludwig-ai\ludwig\ludwig\contribs\__init__.py
ludwig.contribs.mlflow.MlflowCallback,MlflowCallback,64,C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\ludwig-ai\ludwig\ludwig\contribs\__init__.py
logging.getLogger,logging.getLogger,9,C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\ludwig-ai\ludwig\ludwig\data\batcher\random_access.py
logging.getLogger,logging.getLogger,12,C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\ludwig-ai\ludwig\ludwig\data\cache\manager.py
logging.getLogger,logging.getLogger,10,C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\ludwig-ai\ludwig\ludwig\data\concatenate_datasets.py
logging.getLogger,logging.getLogger,32,C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\ludwig-ai\ludwig\ludwig\data\dataframe\dask.py
logging.getLogger,logging.getLogger,34,C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\ludwig-ai\ludwig\ludwig\data\dataset\ray.py
logging.getLogger,logging.getLogger,48,C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\ludwig-ai\ludwig\ludwig\data\dataset_synthesizer.py
logging.info,logging.info,87,C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\ludwig-ai\ludwig\ludwig\data\negative_sampling.py
logging.getLogger,logging.getLogger,111,C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\ludwig-ai\ludwig\ludwig\data\preprocessing.py
logging.getLogger,logging.getLogger,31,C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\ludwig-ai\ludwig\ludwig\data\split.py
logging.info,logging.info,215,C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\ludwig-ai\ludwig\ludwig\data\split.py
logging.info,logging.info,283,C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\ludwig-ai\ludwig\ludwig\data\split.py
logging.getLogger,logging.getLogger,12,C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\ludwig-ai\ludwig\ludwig\datasets\archives.py
logging.getLogger,logging.getLogger,24,C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\ludwig-ai\ludwig\ludwig\datasets\loaders\dataset_loader.py
logging.getLogger,logging.getLogger,15,C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\ludwig-ai\ludwig\ludwig\datasets\loaders\mnist.py
logging.error,logging.error,199,C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\ludwig-ai\ludwig\ludwig\datasets\__init__.py
logging.getLogger,logging.getLogger,13,C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\ludwig-ai\ludwig\ludwig\decoders\generic_decoders.py
logging.getLogger,logging.getLogger,15,C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\ludwig-ai\ludwig\ludwig\decoders\llm_decoders.py
logging.getLogger,logging.getLogger,16,C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\ludwig-ai\ludwig\ludwig\decoders\sequence_decoders.py
logging.getLogger,logging.getLogger,14,C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\ludwig-ai\ludwig\ludwig\decoders\sequence_tagger.py
logging.info,logging.info,32,C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\ludwig-ai\ludwig\ludwig\distributed\ddp.py
logging.info,logging.info,54,C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\ludwig-ai\ludwig\ludwig\distributed\deepspeed.py
logging.info,logging.info,18,C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\ludwig-ai\ludwig\ludwig\distributed\fsdp.py
logging.info,logging.info,29,C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\ludwig-ai\ludwig\ludwig\distributed\horovod.py
logging.getLogger,logging.getLogger,14,C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\ludwig-ai\ludwig\ludwig\encoders\bag_encoders.py
logging.getLogger,logging.getLogger,19,C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\ludwig-ai\ludwig\ludwig\encoders\category_encoders.py
logging.getLogger,logging.getLogger,15,C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\ludwig-ai\ludwig\ludwig\encoders\date_encoders.py
logging.getLogger,logging.getLogger,12,C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\ludwig-ai\ludwig\ludwig\encoders\generic_encoders.py
logging.getLogger,logging.getLogger,18,C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\ludwig-ai\ludwig\ludwig\encoders\h3_encoders.py
logging.getLogger,logging.getLogger,16,C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\ludwig-ai\ludwig\ludwig\encoders\image\base.py
logging.getLogger,logging.getLogger,28,C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\ludwig-ai\ludwig\ludwig\encoders\sequence_encoders.py
logging.getLogger,logging.getLogger,14,C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\ludwig-ai\ludwig\ludwig\encoders\set_encoders.py
logging.getLogger,logging.getLogger,45,C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\ludwig-ai\ludwig\ludwig\encoders\text_encoders.py
logging.getLogger,logging.getLogger,16,C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\ludwig-ai\ludwig\ludwig\evaluate.py
logging.getLogger,logging.getLogger,237,C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\ludwig-ai\ludwig\ludwig\evaluate.py
logging.getLogger,logging.getLogger,239,C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\ludwig-ai\ludwig\ludwig\evaluate.py
logging.getLogger,logging.getLogger,19,C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\ludwig-ai\ludwig\ludwig\experiment.py
logging.getLogger,logging.getLogger,504,C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\ludwig-ai\ludwig\ludwig\experiment.py
logging.getLogger,logging.getLogger,506,C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\ludwig-ai\ludwig\ludwig\experiment.py
logging.getLogger,logging.getLogger,40,C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\ludwig-ai\ludwig\ludwig\explain\captum.py
logging.getLogger,logging.getLogger,14,C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\ludwig-ai\ludwig\ludwig\export.py
ludwig.contribs.mlflow.model.export_model,export_model,123,C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\ludwig-ai\ludwig\ludwig\export.py
logging.getLogger,logging.getLogger,186,C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\ludwig-ai\ludwig\ludwig\export.py
logging.getLogger,logging.getLogger,188,C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\ludwig-ai\ludwig\ludwig\export.py
logging.getLogger,logging.getLogger,233,C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\ludwig-ai\ludwig\ludwig\export.py
logging.getLogger,logging.getLogger,235,C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\ludwig-ai\ludwig\ludwig\export.py
logging.getLogger,logging.getLogger,279,C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\ludwig-ai\ludwig\ludwig\export.py
logging.getLogger,logging.getLogger,281,C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\ludwig-ai\ludwig\ludwig\export.py
logging.getLogger,logging.getLogger,331,C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\ludwig-ai\ludwig\ludwig\export.py
logging.getLogger,logging.getLogger,333,C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\ludwig-ai\ludwig\ludwig\export.py
logging.getLogger,logging.getLogger,33,C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\ludwig-ai\ludwig\ludwig\features\audio_feature.py
logging.getLogger,logging.getLogger,15,C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\ludwig-ai\ludwig\ludwig\features\bag_feature.py
